2025-12-16 22:08:04,603	WARNING deprecation.py:50 -- DeprecationWarning: `remote_workers()` has been deprecated. Use `Use either the `foreach_worker()`, `foreach_worker_with_id()`, or `foreach_worker_async()` APIs of `WorkerSet`, which all handle fault tolerance.` instead. This will raise an error in the future!
[NONE] Epoch   1 | Reward=18.11 | Samples=2000 | Total=0.26s (Rollout=0.22s, Train=0.04s) | Thrpt=7665.7/s | Compile=None | Swap=None | Infer=0.035s | Env=0.184s
[NONE] Epoch   2 | Reward=21.24 | Samples=2000 | Total=0.23s (Rollout=0.21s, Train=0.02s) | Thrpt=8882.7/s | Compile=None | Swap=None | Infer=0.028s | Env=0.181s
[NONE] Epoch   3 | Reward=22.17 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.02s) | Thrpt=8938.9/s | Compile=None | Swap=None | Infer=0.028s | Env=0.180s
[NONE] Epoch   4 | Reward=20.48 | Samples=2000 | Total=0.23s (Rollout=0.21s, Train=0.01s) | Thrpt=8853.2/s | Compile=None | Swap=None | Infer=0.029s | Env=0.186s
[NONE] Epoch   5 | Reward=24.48 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9165.6/s | Compile=None | Swap=None | Infer=0.028s | Env=0.178s
[NONE] Epoch   6 | Reward=26.26 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9497.7/s | Compile=None | Swap=None | Infer=0.027s | Env=0.172s
[NONE] Epoch   7 | Reward=22.92 | Samples=2000 | Total=0.22s (Rollout=0.20s, Train=0.01s) | Thrpt=9242.0/s | Compile=None | Swap=None | Infer=0.028s | Env=0.175s
[NONE] Epoch   8 | Reward=28.21 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9139.6/s | Compile=None | Swap=None | Infer=0.028s | Env=0.177s
[NONE] Epoch   9 | Reward=25.95 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9091.2/s | Compile=None | Swap=None | Infer=0.028s | Env=0.177s
[NONE] Epoch  10 | Reward=29.06 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9430.2/s | Compile=None | Swap=None | Infer=0.027s | Env=0.172s
[NONE] Epoch  11 | Reward=37.30 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9520.4/s | Compile=None | Swap=None | Infer=0.028s | Env=0.170s
[NONE] Epoch  12 | Reward=27.97 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9455.7/s | Compile=None | Swap=None | Infer=0.028s | Env=0.172s
[NONE] Epoch  13 | Reward=33.75 | Samples=2000 | Total=0.53s (Rollout=0.52s, Train=0.02s) | Thrpt=3738.5/s | Compile=None | Swap=None | Infer=0.059s | Env=0.457s
[NONE] Epoch  14 | Reward=35.15 | Samples=2000 | Total=0.24s (Rollout=0.22s, Train=0.02s) | Thrpt=8437.5/s | Compile=None | Swap=None | Infer=0.030s | Env=0.191s
[NONE] Epoch  15 | Reward=39.75 | Samples=2000 | Total=0.31s (Rollout=0.30s, Train=0.01s) | Thrpt=6367.8/s | Compile=None | Swap=None | Infer=0.038s | Env=0.263s
[NONE] Epoch  16 | Reward=33.33 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9098.6/s | Compile=None | Swap=None | Infer=0.029s | Env=0.179s
[NONE] Epoch  17 | Reward=40.94 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9493.5/s | Compile=None | Swap=None | Infer=0.028s | Env=0.170s
[NONE] Epoch  18 | Reward=43.17 | Samples=2000 | Total=0.21s (Rollout=0.20s, Train=0.01s) | Thrpt=9552.5/s | Compile=None | Swap=None | Infer=0.027s | Env=0.170s
[NONE] Epoch  19 | Reward=38.33 | Samples=2000 | Total=0.22s (Rollout=0.21s, Train=0.01s) | Thrpt=9179.7/s | Compile=None | Swap=None | Infer=0.028s | Env=0.178s
